Run, PostgresBulk, MysqlBatch,customer,lineitem,nation,orders,part,partsupp,region,supplier,Total Elapsed
Run 1, PostgresBulk 1000, MysqlBatch 100000,9.507451295852661,407.8238627910614,0.005136251449584961,85.71286225318909,7.757193565368652,27.403919458389282,0.004697084426879883,0.7474801540374756,538.9654870033264
Run 2, PostgresBulk 1000, MysqlBatch 100000,6.101086378097534,449.42162227630615,0.005674123764038086,89.79160356521606,7.786510944366455,24.873748064041138,0.004831790924072266,0.2752819061279297,578.2634871006012
Run 3, PostgresBulk 1000, MysqlBatch 100000,6.0211021900177,458.99792218208313,0.005151271820068359,88.36188697814941,7.796086311340332,40.96346426010132,0.26564836502075195,1.203624963760376,603.6179263591766
Run 4, PostgresBulk 1000, MysqlBatch 100000,6.1248979568481445,460.7953426837921,0.005089998245239258,67.44061231613159,17.258907794952393,38.13093662261963,0.006541252136230469,0.3646223545074463,590.1297721862793
Run 0, PostgresBulk 5000, MysqlBatch 1000,4.882974863052368,361.13543915748596,0.005430936813354492,73.36872243881226,5.709653377532959,29.40660524368286,0.004287242889404297,0.250232458114624,474.76629972457886
Run 1, PostgresBulk 5000, MysqlBatch 1000,4.322750806808472,377.1959161758423,0.005310535430908203,46.766268491744995,7.729128837585449,47.79160404205322,0.007662534713745117,0.30284762382507324,484.124507188797
Run 2, PostgresBulk 5000, MysqlBatch 1000,4.3857457637786865,359.07509756088257,0.0048868656158447266,54.79961442947388,6.681600332260132,36.10335302352905,0.006674051284790039,0.30239343643188477,461.36241698265076
Run 3, PostgresBulk 5000, MysqlBatch 1000,4.947634935379028,356.7669413089752,0.005454540252685547,64.14980697631836,6.752837419509888,35.55872416496277,0.004644870758056641,0.24638152122497559,468.4354395866394
Run 4, PostgresBulk 5000, MysqlBatch 1000,7.7088000774383545,355.4860408306122,0.005072355270385742,64.13603591918945,5.726090431213379,16.15067744255066,0.004697322845458984,0.2486579418182373,449.4690978527069
Run 0, PostgresBulk 5000, MysqlBatch 5000,4.851678133010864,364.05117678642273,0.005448102951049805,60.65634298324585,7.491621494293213,16.229886531829834,0.004914760589599609,0.2536959648132324,453.5621507167816
